Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,status
09-08-19,Liverpool,Norwich,4,1,H,1
10-08-19,West Ham,Man City,0,5,A,1
10-08-19,Bournemouth,Sheffield United,1,1,D,1
10-08-19,Burnley,Southampton,3,0,H,1
10-08-19,Crystal Palace,Everton,0,0,D,1
10-08-19,Watford,Brighton,0,3,A,1
10-08-19,Tottenham,Aston Villa,3,1,H,1
11-08-19,Leicester,Wolves,0,0,D,1
11-08-19,Newcastle,Arsenal,0,1,A,1
11-08-19,Man United,Chelsea,4,0,H,1
17-08-19,Arsenal,Burnley,2,1,H,1
17-08-19,Aston Villa,Bournemouth,1,2,A,1
17-08-19,Brighton,West Ham,1,1,D,1
17-08-19,Everton,Watford,1,0,H,1
17-08-19,Norwich,Newcastle,3,1,H,1
17-08-19,Southampton,Liverpool,1,2,A,1
17-08-19,Man City,Tottenham,2,2,D,1
18-08-19,Sheffield United,Crystal Palace,1,0,H,1
18-08-19,Chelsea,Leicester,1,1,D,1
19-08-19,Wolves,Man United,1,1,D,1
23-08-19,Aston Villa,Everton,2,0,H,1
24-08-19,Norwich,Chelsea,2,3,A,1
24-08-19,Brighton,Southampton,0,2,A,1
24-08-19,Man United,Crystal Palace,1,2,A,1
24-08-19,Sheffield United,Leicester,1,2,A,1
24-08-19,Watford,West Ham,1,3,A,1
24-08-19,Liverpool,Arsenal,3,1,H,1
25-08-19,Bournemouth,Man City,1,3,A,1
25-08-19,Tottenham,Newcastle,0,1,A,1
25-08-19,Wolves,Burnley,1,1,D,1
31-08-19,Southampton,Man United,1,1,D,1
31-08-19,Chelsea,Sheffield United,2,2,D,1
31-08-19,Crystal Palace,Aston Villa,1,0,H,1
31-08-19,Leicester,Bournemouth,3,1,H,1
31-08-19,Man City,Brighton,4,0,H,1
31-08-19,Newcastle,Watford,1,1,D,1
31-08-19,West Ham,Norwich,2,0,H,1
31-08-19,Burnley,Liverpool,0,3,A,1
01-09-19,Everton,Wolves,3,2,H,1
01-09-19,Arsenal,Tottenham,2,2,D,1
14-09-19,Liverpool,Newcastle,3,1,H,1
14-09-19,Brighton,Burnley,1,1,D,1
14-09-19,Man United,Leicester,1,0,H,1
14-09-19,Sheffield United,Southampton,0,1,A,1
14-09-19,Tottenham,Crystal Palace,4,0,H,1
14-09-19,Wolves,Chelsea,2,5,A,1
14-09-19,Norwich,Man City,3,2,H,1
15-09-19,Bournemouth,Everton,3,1,H,1
15-09-19,Watford,Arsenal,2,2,D,1
16-09-19,Aston Villa,West Ham,0,0,D,1
20-09-19,Southampton,Bournemouth,1,3,A,1
21-09-19,Leicester,Tottenham,2,1,H,1
21-09-19,Burnley,Norwich,2,0,H,1
21-09-19,Everton,Sheffield United,0,2,A,1
21-09-19,Man City,Watford,8,0,H,1
21-09-19,Newcastle,Brighton,0,0,D,1
22-09-19,Crystal Palace,Wolves,1,1,D,1
22-09-19,West Ham,Man United,2,0,H,1
22-09-19,Arsenal,Aston Villa,3,2,H,1
22-09-19,Chelsea,Liverpool,1,2,A,1
28-09-19,Sheffield United,Liverpool,0,1,A,1
28-09-19,Aston Villa,Burnley,2,2,D,1
28-09-19,Bournemouth,West Ham,2,2,D,1
28-09-19,Chelsea,Brighton,2,0,H,1
28-09-19,Crystal Palace,Norwich,2,0,H,1
28-09-19,Tottenham,Southampton,2,1,H,1
28-09-19,Wolves,Watford,2,0,H,1
28-09-19,Everton,Man City,1,3,A,1
29-09-19,Leicester,Newcastle,5,0,H,1
30-09-19,Man United,Arsenal,1,1,D,1
05-10-19,Brighton,Tottenham,3,0,H,1
05-10-19,Burnley,Everton,1,0,H,1
05-10-19,Liverpool,Leicester,2,1,H,1
05-10-19,Norwich,Aston Villa,1,5,A,1
05-10-19,Watford,Sheffield United,0,0,D,1
05-10-19,West Ham,Crystal Palace,1,2,A,1
06-10-19,Arsenal,Bournemouth,1,0,H,1
06-10-19,Man City,Wolves,0,2,A,1
06-10-19,Southampton,Chelsea,1,4,A,1
06-10-19,Newcastle,Man United,1,0,H,1
19-10-19,Everton,West Ham,2,0,H,1
19-10-19,Aston Villa,Brighton,2,1,H,1
19-10-19,Bournemouth,Norwich,0,0,D,1
19-10-19,Chelsea,Newcastle,1,0,H,1
19-10-19,Leicester,Burnley,2,1,H,1
19-10-19,Tottenham,Watford,1,1,D,1
19-10-19,Wolves,Southampton,1,1,D,1
19-10-19,Crystal Palace,Man City,0,2,A,1
20-10-19,Man United,Liverpool,1,1,D,0
21-10-19,Sheffield United,Arsenal,1,0,H,0
25-10-19,Southampton,Leicester,0,9,A,0
26-10-19,Man City,Aston Villa,3,0,H,0
26-10-19,Brighton,Everton,3,2,H,0
26-10-19,Watford,Bournemouth,0,0,D,0
26-10-19,West Ham,Sheffield United,1,1,D,0
26-10-19,Burnley,Chelsea,2,4,A,0
27-10-19,Newcastle,Wolves,1,1,D,0
27-10-19,Arsenal,Crystal Palace,2,2,D,0
27-10-19,Liverpool,Tottenham,2,1,H,0
27-10-19,Norwich,Man United,1,3,A,0
02-11-19,Bournemouth,Man United,1,0,H,0
02-11-19,Arsenal,Wolves,1,1,D,0
02-11-19,Aston Villa,Liverpool,1,2,A,0
02-11-19,Brighton,Norwich,2,0,H,0
02-11-19,Man City,Southampton,2,1,H,0
02-11-19,Sheffield United,Burnley,3,0,H,0
02-11-19,West Ham,Newcastle,2,3,A,0
02-11-19,Watford,Chelsea,1,2,A,0
03-11-19,Crystal Palace,Leicester,0,2,A,0
03-11-19,Everton,Tottenham,1,1,D,0
08-11-19,Norwich,Watford,0,2,A,0
09-11-19,Chelsea,Crystal Palace,2,0,H,0
09-11-19,Burnley,West Ham,3,0,H,0
09-11-19,Newcastle,Bournemouth,2,1,H,0
09-11-19,Southampton,Everton,1,2,A,0
09-11-19,Tottenham,Sheffield United,1,1,D,0
09-11-19,Leicester,Arsenal,2,0,H,0
10-11-19,Man United,Brighton,3,1,H,0
10-11-19,Wolves,Aston Villa,2,1,H,0
10-11-19,Liverpool,Man City,3,1,H,0
23-11-19,West Ham,Tottenham,2,3,A,0
23-11-19,Arsenal,Southampton,2,2,D,0
23-11-19,Bournemouth,Wolves,1,2,A,0
23-11-19,Brighton,Leicester,0,2,A,0
23-11-19,Crystal Palace,Liverpool,1,2,A,0
23-11-19,Everton,Norwich,0,2,A,0
23-11-19,Watford,Burnley,0,3,A,0
23-11-19,Man City,Chelsea,2,1,H,0
24-11-19,Sheffield United,Man United,3,3,D,0
25-11-19,Aston Villa,Newcastle,2,0,H,0
30-11-19,Newcastle,Man City,2,2,D,0
30-11-19,Burnley,Crystal Palace,0,2,A,0
30-11-19,Chelsea,West Ham,0,1,A,0
30-11-19,Liverpool,Brighton,2,1,H,0
30-11-19,Tottenham,Bournemouth,3,2,H,0
30-11-19,Southampton,Watford,2,1,H,0
01-12-19,Norwich,Arsenal,2,2,D,0
01-12-19,Wolves,Sheffield United,1,1,D,0
01-12-19,Leicester,Everton,2,1,H,0
01-12-19,Man United,Aston Villa,2,2,D,0
03-12-19,Crystal Palace,Bournemouth,1,0,H,0
03-12-19,Burnley,Man City,1,4,A,0
04-12-19,Chelsea,Aston Villa,2,1,H,0
04-12-19,Leicester,Watford,2,0,H,0
04-12-19,Man United,Tottenham,2,1,H,0
04-12-19,Southampton,Norwich,2,1,H,0
04-12-19,Wolves,West Ham,2,0,H,0
04-12-19,Liverpool,Everton,5,2,H,0
05-12-19,Sheffield United,Newcastle,0,2,A,0
05-12-19,Arsenal,Brighton,1,2,A,0
07-12-19,Everton,Chelsea,3,1,H,0
07-12-19,Bournemouth,Liverpool,0,3,A,0
07-12-19,Tottenham,Burnley,5,0,H,0
07-12-19,Watford,Crystal Palace,0,0,D,0
07-12-19,Man City,Man United,1,2,A,0
08-12-19,Aston Villa,Leicester,1,4,A,0
08-12-19,Newcastle,Southampton,2,1,H,0
08-12-19,Norwich,Sheffield United,1,2,A,0
08-12-19,Brighton,Wolves,2,2,D,0
09-12-19,West Ham,Arsenal,1,3,A,0
14-12-19,Liverpool,Watford,2,0,H,0
14-12-19,Burnley,Newcastle,1,0,H,0
14-12-19,Chelsea,Bournemouth,0,1,A,0
14-12-19,Leicester,Norwich,1,1,D,0
14-12-19,Sheffield United,Aston Villa,2,0,H,0
14-12-19,Southampton,West Ham,0,1,A,0
15-12-19,Man United,Everton,1,1,D,0
15-12-19,Wolves,Tottenham,1,2,A,0
15-12-19,Arsenal,Man City,0,3,A,0
