,Date,Home Team,Away Team,Referee,AttackRateH,AttackRateA,DefenceRateH,DefenceRateA,DGH,DGA,Home Rank,Away Rank,Avg HST,Avg AST,Avg HF,Avg AF,Avg HC,Avg AC,Avg HR,Avg AR,Avg HY,Avg AY
3478,22-09-19,Arsenal,Aston Villa,J Moss,0.648,0.352,0.655,0.345,0.479,0.683,0.8,0,0.02,0.043,0.031,0.045,0.027,0.012,0.014,0.048,0.034,0.008
3496,06-10-19,Arsenal,Bournemouth,M Atkinson,0.508,0.492,0.825,0.175,0.438,0.767,0.8,0.35,0.006,0.009,0.027,0.017,0.04,0.014,0.006,0,0.006,0.015
3569,05-12-19,Arsenal,Brighton,G Scott,0.577,0.423,0.66,0.34,0.5,0.675,0.8,0.2,0.014,0.035,0.019,0.026,0.022,0.022,0.011,0,0.016,0.006
3430,17-08-19,Arsenal,Burnley,M Dean,0.538,0.462,0.95,0.05,0.219,0.692,0.8,0.3,0.034,0.026,0.034,0.036,0.033,0.023,0.015,0,0.015,0.009
3270,29-01-19,Arsenal,Cardiff,M Dean,0.779,0.221,0.372,0.628,0.885,0.333,0.75,0,0.009,0.007,0.023,0.025,0.008,0.015,0.014,0,0.014,0.017
3616,29-12-19,Arsenal,Chelsea,C Pawson,0.475,0.525,0.734,0.266,0.281,0.767,0.8,0.9,0.005,0.014,0.023,0.042,0.004,0.007,0.026,0,0.026,0.024
3517,27-10-19,Arsenal,Crystal Palace,M Atkinson,0.435,0.565,0.737,0.263,0.24,0.767,0.8,0.45,0.019,0.017,0.039,0.024,0.033,0.014,0.012,0,0.012,0
3240,01-01-19,Arsenal,Fulham,G Scott,0.676,0.324,0.394,0.606,0.365,0.242,0.75,0,0.022,0.014,0.012,0.026,0.017,0.006,0,0,0,0.006
3588,15-12-19,Arsenal,Man City,P Tierney,0.561,0.439,0.595,0.405,0.635,0.883,0.8,1,0.003,0.026,0.017,0.056,0.007,0.007,0.005,0,0.005,0.025
3627,01-01-20,Arsenal,Man United,C Kavanagh,0.627,0.373,0.746,0.254,0.344,0.667,0.8,0.75,0.01,0.014,0.019,0.032,0.002,0.009,0.01,0,0.01,0
3353,01-04-19,Arsenal,Newcastle,A Taylor,0.586,0.414,0.405,0.595,0.708,0.608,0.75,0.55,0.008,0.003,0.016,0.018,0.011,0.004,0.008,0,0.008,0
3640,18-01-20,Arsenal,Sheffield United,M Dean,0.628,0.372,0.702,0.298,0.656,0.733,0.8,0,0.01,0.013,0.015,0.027,0.008,0.01,0.01,0,0.005,0.011
3541,23-11-19,Arsenal,Southampton,S Attwell,0.683,0.317,0.725,0.275,0.333,0.625,0.8,0.25,0.014,0.024,0.026,0.048,0.015,0.02,0.017,0,0.034,0.013
3459,01-09-19,Arsenal,Tottenham,M Atkinson,0.444,0.556,0.879,0.121,0.208,0.817,0.8,0.85,0.029,0.045,0.033,0.059,0.034,0.019,0.007,0.05,0.021,0.042
3521,02-11-19,Arsenal,Wolves,M Oliver,0.513,0.487,0.78,0.22,0.49,0.8,0.8,0.7,0.012,0.033,0.013,0.039,0.021,0.023,0.024,0,0,0.014
3098,23-09-18,Arsenal,Everton,J Moss,0.55,0.45,0.45,0.55,0.281,0.458,0.75,0.65,0.017,0.029,0.04,0.036,0.015,0.027,0.014,0,0.014,0.008
3190,08-12-18,Arsenal,Huddersfield,P Tierney,0.56,0.44,0.33,0.67,0.396,0.35,0.75,0.25,0.005,0,0.024,0.048,0.016,0.002,0.026,0,0.026,0.026
2520,11-02-17,Arsenal,Hull,M Clattenburg,0.75,0.25,0.43,0.57,0.385,0.142,0.95,0,0.016,0.013,0.019,0.018,0.006,0.016,0.014,0.032,0.014,0.005
3129,22-10-18,Arsenal,Leicester,C Kavanagh,0.51,0.49,0.35,0.65,0.521,0.65,0.75,0.6,0.019,0.009,0.022,0.027,0.016,0.011,0.012,0,0.012,0.014
3140,03-11-18,Arsenal,Liverpool,A Marriner,0.59,0.41,0.49,0.51,0.375,0.458,0.75,0.85,0.012,0.017,0.015,0.018,0.013,0.021,0.006,0,0.006,0.007
2246,4/30/2016,Arsenal,Norwich,M Jones,0.61,0.39,0.26,0.74,0.646,0.408,0.9,0,0.006,0.008,0.011,0.012,0.012,0.005,0.004,0,0.004,0
2972,01-04-18,Arsenal,Stoke,C Pawson,0.56,0.44,0.41,0.59,0.406,0.467,0.8,0.4,0.023,0.006,0.013,0.024,0.011,0.009,0.004,0,0.004,0.01
2646,5/16/2017,Arsenal,Sunderland,R East,0.76,0.24,0.43,0.57,0.729,0.292,0.95,0.2,0.026,0.006,0.021,0.017,0.03,0.005,0.016,0,0.016,0.009
2750,28-10-17,Arsenal,Swansea,L Mason,0.5,0.5,0.53,0.47,0.469,0.642,0.8,0.3,0.016,0.009,0.02,0.024,0.014,0.005,0,0,0,0
2719,25-09-17,Arsenal,West Brom,R Madley,0.66,0.34,0.35,0.65,0.302,0.35,0.8,0.55,0.02,0.014,0.019,0.051,0.021,0.012,0.007,0,0.007,0.032
3060,25-08-18,Arsenal,West Ham,G Scott,0.37,0.63,0.65,0.35,0.438,0.792,0.75,0.4,0.036,0.025,0.04,0.041,0.031,0.006,0.007,0,0.007,0.025
,12/13/2015,Aston Villa,Arsenal,K Friend,0.51,0.49,0.48,0.52,0.219,0.467,0.2,0.9,0.005,0.015,0.015,0.016,0.012,0.012,0,0,0,0
,17-08-19,Aston Villa,Bournemouth,M Atkinson,0.56,0.44,0.8,0.2,0.323,0.792,0,0.35,0.026,0.021,0.026,0.043,0.033,0.016,0.015,0,0,0.018
,28-09-19,Aston Villa,Burnley,L Mason,0.53,0.47,0.78,0.22,0.552,0.833,0,0.3,0.01,0.014,0.023,0.045,0.02,0.009,0.006,0,0.006,0.03
,09-11-13,Aston Villa,Cardiff,M Atkinson,0.38,0.63,0.54,0.46,0.323,0.667,0.3,0,0.018,0.008,0.021,0.008,0.013,0.008,0.006,0,0.006,0.007
,02-04-16,Aston Villa,Chelsea,N Swarbrick,0.55,0.45,0.51,0.49,0.448,0.442,0.2,1,0.008,0.024,0.018,0.015,0.013,0.004,0.004,0,0.017,0.005
,12-01-16,Aston Villa,Crystal Palace,M Clattenburg,0.4,0.6,0.38,0.62,0.135,0.342,0.2,0.55,0.008,0.004,0.027,0.02,0.02,0,0.01,0,0.01,0.006
3440,23-08-19,Aston Villa,Everton,M Oliver,0.683,0.317,1,0,0.521,0.725,0,0.65,0.011,0.005,0.025,0.056,0,0.019,0.014,0,0.014,0.025
,05-04-14,Aston Villa,Fulham,M Oliver,0.7,0.3,0.39,0.61,0.573,0.15,0.3,0.45,0.012,0.023,0.014,0.023,0.004,0.013,0.012,0,0.012,0.01
,8/31/2014,Aston Villa,Hull,M Clattenburg,0.58,0.42,0.28,0.72,0.406,0.542,0.3,0.25,0.014,0.015,0.023,0.031,0.009,0.022,0.007,0,0.007,0.033
,08-12-19,Aston Villa,Leicester,M Oliver,0.4,0.6,0.79,0.21,0.479,0.917,0,0.6,0.005,0.031,0.04,0.036,0.019,0.012,0.033,0,0.033,0.013
3522,02-11-19,Aston Villa,Liverpool,J Moss,0.438,0.563,0.935,0.065,0.271,0.833,0,0.95,0.006,0.025,0.025,0.023,0.005,0.026,0.024,0,0.006,0.014
3638,12-01-20,Aston Villa,Man City,J Moss,0.443,0.557,0.625,0.375,0.438,0.9,0,1,0.002,0.041,0.009,0.026,0.004,0.009,0.005,0,0.01,0.006
,8/14/2015,Aston Villa,Man United,M Dean,0.56,0.44,0.41,0.59,0.281,0.375,0.2,0.85,0.004,0.011,0.037,0.033,0.01,0.016,0.015,0,0.015,0.018
3549,25-11-19,Aston Villa,Newcastle,L Mason,0.571,0.429,0.709,0.291,0.385,0.625,0,0.4,0.023,0.02,0.02,0.023,0.028,0.015,0.006,0,0.006,0.007
3600,26-12-19,Aston Villa,Norwich,C Kavanagh,0.463,0.537,0.7,0.3,0.323,0.708,0,0,0.005,0.021,0.027,0.027,0.011,0.018,0.02,0,0.01,0.018
3591,21-12-19,Aston Villa,Southampton,C Pawson,0.639,0.361,0.659,0.341,0.531,0.692,0,0.25,0.016,0.03,0.03,0.035,0.016,0.012,0.011,0,0.011,0.006
,03-10-15,Aston Villa,Stoke,M Jones,0.72,0.28,0.36,0.64,0.51,0.433,0.2,0.6,0.006,0.023,0.027,0.034,0.026,0.014,0.006,0,0.006,0
,8/29/2015,Aston Villa,Sunderland,R Madley,0.5,0.5,0.35,0.65,0.469,0.667,0.2,0.25,0.021,0.015,0.025,0.044,0.016,0.013,0.014,0,0.014,0.008
,10/24/2015,Aston Villa,Swansea,N Swarbrick,0.62,0.38,0.2,0.8,0.542,0.283,0.2,0.65,0.009,0.017,0.022,0.022,0.011,0.016,0.012,0.043,0.012,0.022
,3/13/2016,Aston Villa,Tottenham,A Taylor,0.41,0.59,0.6,0.4,0.406,0.725,0.2,0.8,0.004,0.024,0.009,0.011,0.009,0.015,0,0,0,0
3649,21-01-20,Aston Villa,Watford,M Atkinson,0.338,0.662,0.718,0.282,0.094,0.783,0,0.5,0.012,0.007,0.018,0.038,0.013,0.006,0.01,0,0.01,0.011
,9/19/2015,Aston Villa,West Brom,M Atkinson,0.61,0.39,0.37,0.63,0.448,0.55,0.2,0.4,0.01,0.029,0.024,0.033,0.006,0.021,0.014,0,0.014,0.024
3469,16-09-19,Aston Villa,West Ham,M Dean,0.6,0.4,0.889,0.111,0.344,0.692,0,0.55,0.017,0.005,0.031,0.036,0.006,0.012,0.014,0.048,0.014,0.008
,8/27/2011,Aston Villa,Wolves,M Atkinson,0.54,0.46,0.52,0.48,0.354,0.558,0.6,0.2,0.018,0.01,0.025,0.028,0.034,0.025,0.007,0,0.007,0.025
3376,20-04-19,Bournemouth,Fulham,D Coote,0.511,0.489,0.383,0.617,0.25,0.367,0.45,0,0.01,0.014,0.015,0.031,0.005,0.012,0.004,0,0.004,0.014
3180,04-12-18,Bournemouth,Huddersfield,R East,0.64,0.36,0.46,0.54,0.677,0.583,0.45,0.25,0.005,0.024,0.027,0.028,0.01,0.02,0.022,0,0.022,0.013
2351,10/15/2016,Bournemouth,Hull,L Mason,0.57,0.43,0.5,0.5,0.167,0.417,0.25,0,0.032,0.018,0.018,0.04,0.014,0.011,0,0,0,0.023
3080,15-09-18,Bournemouth,Leicester,C Pawson,0.7,0.3,0.5,0.5,0.344,0.4,0.45,0.6,0.017,0.038,0.031,0.045,0.012,0.018,0.02,0.048,0.02,0.016
3571,07-12-19,Bournemouth,Liverpool,C Kavanagh,0.453,0.547,0.872,0.128,0.448,0.908,0.35,0.95,0,0.035,0.01,0.014,0.002,0.007,0.016,0,0,0.006
3447,25-08-19,Bournemouth,Man City,A Marriner,0.463,0.537,0.897,0.103,0.188,0.775,0.35,1,0.025,0.025,0.018,0.041,0.013,0.016,0.007,0,0.007,0.025
3520,02-11-19,Bournemouth,Man United,C Kavanagh,0.557,0.443,0.793,0.207,0.542,0.833,0.35,0.75,0.018,0.017,0.029,0.031,0.01,0.026,0.024,0,0.024,0.021
3339,16-03-19,Bournemouth,Newcastle,M Dean,0.448,0.552,0.605,0.395,0.406,0.758,0.45,0.55,0.006,0.012,0.013,0.023,0.011,0.011,0.013,0,0.013,0.01
3502,19-10-19,Bournemouth,Norwich,L Mason,0.582,0.418,0.576,0.424,0.354,0.717,0.35,0,0.006,0.004,0.017,0.03,0.016,0.019,0.012,0,0.006,0.022
3422,10-08-19,Bournemouth,Sheffield United,K Friend,0.407,0.593,1,0,0.281,0.825,0.35,0,0.011,0.016,0.026,0.063,0.01,0.013,0.015,0,0.015,0.009
3120,20-10-18,Bournemouth,Southampton,L Probert,0.72,0.28,0.46,0.54,0.396,0.367,0.45,0.2,0.006,0.017,0.022,0.038,0.016,0.011,0.006,0,0.006,0.014
2911,03-02-18,Bournemouth,Stoke,P Tierney,0.67,0.33,0.42,0.58,0.417,0.225,0.6,0.4,0.018,0.013,0.023,0.038,0.016,0.002,0.009,0,0.009,0.016
2380,05-11-16,Bournemouth,Sunderland,M Dean,0.58,0.42,0.49,0.51,0.438,0.517,0.25,0.2,0.021,0.017,0.029,0.044,0.031,0.005,0.018,0.042,0.018,0.014
3015,05-05-18,Bournemouth,Swansea,K Friend,0.72,0.28,0.4,0.6,0.531,0.192,0.6,0.3,0.01,0.008,0.014,0.017,0.019,0.01,0.004,0,0.004,0.018
3401,04-05-19,Bournemouth,Tottenham,C Pawson,0.61,0.39,0.506,0.494,0.656,0.633,0.45,0.9,0.012,0.014,0.015,0.02,0.017,0.01,0.004,0.054,0.004,0.023
3637,12-01-20,Bournemouth,Watford,M Dean,0.556,0.444,0.614,0.386,0.344,0.642,0.35,0.5,0.002,0.021,0.005,0.028,0.011,0.011,0.005,0,0.005,0.006
2960,17-03-18,Bournemouth,West Brom,G Scott,0.71,0.29,0.41,0.59,0.417,0.275,0.6,0.55,0.011,0.018,0.009,0.017,0.006,0.004,0.004,0,0.004,0.01
3482,28-09-19,Bournemouth,West Ham,S Attwell,0.686,0.314,0.867,0.133,0.531,0.658,0.35,0.55,0.016,0.027,0.016,0.023,0.017,0.017,0.006,0,0.019,0.008
3542,23-11-19,Bournemouth,Wolves,S Hooper,0.545,0.455,0.86,0.14,0.323,0.708,0.35,0.7,0.006,0.028,0.02,0.03,0.013,0.023,0.017,0,0.011,0.007
3661,01-02-20,Bournemouth,Aston Villa,A Taylor,0.529,0.471,0.667,0.333,0.281,0.625,0.35,0,0.014,0.016,0.016,0.03,0.002,0.016,0.009,0,0.005,0.016
3641,18-01-20,Brighton,Aston Villa,A Madley,0.57,0.43,0.617,0.383,0.438,0.65,0.2,0,0.005,0.01,0.018,0.027,0.006,0.008,0.01,0,0.014,0.017
